月日,路線,方面,時間帯,姪浜～室見,室見～藤崎,藤崎～西新,西新～唐人町,唐人町～大濠公園,大濠公園～赤坂,赤坂～天神,天神～中洲川端,中洲川端～祇園,祇園～博多,博多～東比恵,東比恵～福岡空港,
0422,空港線,東行,7:00～7:15,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,7:15～7:30,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,7:30～7:45,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,7:45～8:00,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,8:00～8:15,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,8:15～8:30,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,8:30～8:45,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,8:45～9:00,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,9:00～9:15,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,9:15～9:30,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,9:30～9:45,0,0,0,0,0,0,0,0,0,0,0,0,
0422,空港線,東行,9:45～10:00,0,0,0,0,0,0,0,0,0,0,0,0,
