月日,路線,方面,時間帯,橋本～次郎丸,次郎丸～賀茂,賀茂～野芥,野芥～梅林,梅林～福大前,福大前～七隈,七隈～金山,金山～茶山,茶山～別府,別府～六本松,六本松～桜坂,桜坂～薬院大通,薬院大通～薬院,薬院～渡辺通,渡辺通～天神南,
0423,七隈線,東行,16:00～16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,16:15～16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,16:30～16:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,16:45～17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,17:00～17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,17:15～17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,17:30～17:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,17:45～18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,18:00～18:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,18:15～18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,18:30～18:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0423,七隈線,東行,18:45～19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
