月日,路線,方面,時間帯,天神南～渡辺通,渡辺通～薬院,薬院～薬院大通,薬院大通～桜坂,桜坂～六本松,六本松～別府,別府～茶山,茶山～金山,金山～七隈,七隈～福大前,福大前～梅林,梅林～野芥,野芥～賀茂,賀茂～次郎丸,次郎丸～橋本,
0527,七隈線,西行,16:00～16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,16:15～16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,16:30～16:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,16:45～17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,17:00～17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,17:15～17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,17:30～17:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,17:45～18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,18:00～18:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,18:15～18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,18:30～18:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0527,七隈線,西行,18:45～19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
